# Array shape: (4, 5, 6)
1.17  , -1.66 , 0.92  , -0.64 , 0.99  , 0.21  
1.47  , 0.46  , -0.07 , -0.78 , -0.15 , 0.30  
-1.69 , 0.85  , 0.16  , -1.13 , -0.02 , 0.03  
0.09  , -0.80 , -0.97 , 0.14  , -0.42 , -0.24 
0.73  , -0.42 , -0.95 , 0.92  , 1.41  , -1.90 
# New slice
-0.06 , -0.47 , 0.11  , 1.82  , 0.03  , 0.95  
-0.97 , 1.92  , 1.78  , -0.92 , 0.24  , 0.74  
-1.24 , -1.65 , -0.92 , -1.23 , 1.23  , 0.61  
0.06  , -0.60 , -0.90 , 0.70  , 0.55  , 0.82  
-0.34 , 0.03  , 0.57  , 0.41  , -0.13 , -2.79 
# New slice
1.00  , 2.54  , -0.09 , 0.21  , -1.10 , 1.13  
1.31  , -0.79 , -0.36 , 1.42  , -0.56 , 1.13  
0.60  , -0.08 , 1.90  , -2.54 , 0.34  , 1.74  
1.58  , -0.00 , 0.95  , -0.91 , -0.78 , 1.17  
-0.04 , 0.27  , -0.13 , 0.39  , -0.74 , -0.61 
# New slice
-0.53 , 0.59  , 1.16  , -0.28 , 0.40  , 0.04  
-0.23 , 0.25  , -1.48 , 0.28  , 0.21  , 1.46  
-0.59 , 0.54  , -2.38 , 0.60  , -1.57 , -0.59 
-0.16 , -0.08 , 0.34  , -1.23 , -0.82 , 0.25  
-0.20 , -0.62 , -0.44 , -0.48 , 1.73  , 1.21  
# New slice
